table: 24E10B40
	helicopter_snipers_drills | table: 53C62B20
					trigger_list | table: 53D437C0
						1 | table: 53D437E0
							notify_unit_sequence | show
							name | run_sequence
							notify_unit_id | 101295
							id | 1
							time | 0
				_id | 101293
				_unit | [Unit '@ID67768423451632b3@' Vector3(-3850, -47000, 4375) 54330600] --core/units/run_sequence_dummy/run_sequence_dummy
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542F21E0 (empty)
				_editor_name | func_sequence_046
				_element_group | ElementUnitSequence
				_enabled_by_default | true
			101309 | table: 542F1400
				__name | ElementSpawnEnemyDummy
				_values | table: 53D42DC0
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-4200, -22425, 5920.48)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-90, 0, -0)
					spawn_action | move_ladder_climbover_std
					on_executed | table: 53D42DE0 (empty)
					amount | 0
					execute_on_startup | false
					accessibility | acrobatic
					interval | 16
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 101309
				_units | table: 542F14A0 (empty)
				_events | table: 542F14C0 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542F1420 (empty)
				_editor_name | ai_spawn_enemy_158
				_element_group | ElementSpawnEnemyDummy
			101325 | table: 54133DA0
				__name | ElementSpecialObjective
				_values | table: 53BB0F40
					so_action | AI_sniper
					on_executed | table: 53BB0F60 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | true
					search_position | Vector3(275, -21975, 6952.47)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 16348
					rotation | Rotation(90, -0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | -1
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | none
					position | Vector3(265, -22023, 6952)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54133DC0 (empty)
				_editor_name | point_special_objective_025
				_events | table: 54133E20 (empty)
				_id | 101325
			101341 | table: 54181400
				__name | MissionScriptElement
				_values | table: 53BF0C00
					enabled | false
					on_executed | table: 53BF0C20
						1 | table: 53BF0C40
							delay | 0
							id | 101363
						2 | table: 53BF0C60
							delay | 0
							id | 101737
						3 | table: 53BF0C80
							delay | 0
							id | 101738
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-4300, -7925, 7075)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54181420 (empty)
				_editor_name | logic_link_057
				_element_group | MissionScriptElement
				_id | 101341
			101357 | table: 541F13C0
				__name | ElementScenarioEvent
				_values | table: 53C32A60
					enabled | true
					on_executed | table: 53C32A80
						1 | table: 53C32AA0
							delay | 0
							id | 101620
						2 | table: 53C32AC0
							delay | 0
							id | 101619
						3 | table: 53C32AE0
							delay | 0
							id | 101623
						4 | table: 53C32B20
							delay | 0
							id | 101690
					debug | false
					chance_inc | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					base_chance | 1
					amount | 1
					execute_on_startup | false
					trigger_times | 0
					task | any
					position | Vector3(-3350, -22050, 7175)
				_element_group | ElementScenarioEvent
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541F13E0 (empty)
				_editor_name | func_scenario_event_010
				_network_execute | true
				_id | 101357
			101421 | table: 54252740
				__name | ElementSpecialObjectiveTrigger
				_values | table: 53C825A0
					enabled | true
					on_executed | table: 53C825E0
						1 | table: 53C82600
							delay | 2
							id | 100188
						2 | table: 53C82620
							delay | 2
							id | 100322
						3 | table: 53C82640
							delay | 1.5
							id | 100956
					elements | table: 53C825C0
						1 | 101420
					trigger_times | 0
					event | anim_start
					base_delay | 0
					rotation | Rotation(-180, 0, -0)
					position | Vector3(-725, -3050, 5697.1)
					execute_on_startup | false
					debug | false
					execute_on_restart | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54252760 (empty)
				_editor_name | trigger_special_objective_005
				_element_group | ElementSpecialObjectiveTrigger
				_id | 101421
			101485 | table: 54182860
				__name | ElementToggle
				_values | table: 53BF1DA0
					enabled | true
					on_executed | table: 53BF1DE0 (empty)
					elements | table: 53BF1DC0
						1 | 101484
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3675, -22175, 7725)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54182880 (empty)
				_editor_name | logic_toggle_024
				_element_group | ElementToggle
				_id | 101485
			101501 | table: 54182F60
				__name | ElementDialogue
				_values | table: 53BF2520
					enabled | true
					on_executed | table: 53BF2540
						1 | table: 53BF2560
							delay | 0
							id | 101502
					debug | false
					dialogue | bri_geo_05x
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-4200, -22925, 7700)
					execute_on_startup | false
					trigger_times | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54182F80 (empty)
				_editor_name | func_dialogue_018
				_element_group | ElementDialogue
				_id | 101501
			101517 | table: 541B00C0
				__name | ElementSpawnEnemyDummy
				_values | table: 53BF3220
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-2350, -50850, 5163.11)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					spawn_action | so_crh_to_std
					on_executed | table: 53BF3240 (empty)
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 101517
				_units | table: 541B0160 (empty)
				_events | table: 541B0180 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B00E0 (empty)
				_editor_name | ai_spawn_enemy_144
				_element_group | ElementSpawnEnemyDummy
			101533 | table: 541B0DC0
				__name | ElementTeammateComment
				_values | table: 53BF39E0
					enabled | true
					on_executed | table: 53BF3A00
						1 | table: 53BF3A20
							delay | 3
							id | 101908
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					use_instigator | true
					position | Vector3(-4050, -7975, 5625)
					execute_on_startup | false
					radius | 0
					close_to_element | false
					comment | bri_06
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B0DE0 (empty)
				_editor_name | point_teammate_comment_007
				_element_group | ElementTeammateComment
				_id | 101533
			101549 | table: 541B1800
				__name | ElementAreaTrigger
				_values | table: 53C301A0
					on_executed | table: 53C301C0
						1 | table: 53C301E0
							delay | 3
							id | 100468
						2 | table: 53C30200
							delay | 0
							id | 100576
					trigger_times | 1
					execute_on_restart | false
					spawn_unit_elements | table: 53C30220 (empty)
					amount | all
					interval | 0.10000000149012
					enabled | false
					debug | false
					instigator | player
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					width | 874.5
					position | Vector3(-3037, -47000, 3695)
					height | 1769.4100341797
					depth | 1534.5
					trigger_on | on_enter
					execute_on_startup | false
				_id | 101549
				_shape | table: 541B18A0
					_type | box_middle
					_name | false
					_bounding_radius_sq | 2348108.75
					_position | Vector3(-3037, -47000, 3695)
					_rotation | Rotation(0, 0, -0)
					_properties | table: 541B18C0
						height | 1769.4100341797
						depth | 1534.5
						width | 874.5
					_center_pos | Vector3(-3037, -47000, 3695)
				_element_group | ElementAreaTrigger
				_last_project_amount_all | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B1820 (empty)
				_editor_name | trigger_area_022
				_inside | table: 541B18E0 (empty)
				_enabled_by_default | false
			101565 | table: 541B1EA0
				__name | ElementSpawnEnemyDummy
				_values | table: 53C306E0
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-4181, -22175, 5920.48)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-90, 0, -0)
					spawn_action | move_climbover_std
					on_executed | table: 53C30700 (empty)
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 11
					enemy | units/characters/enemies/spooc/spooc
				_enemy_name | Idstring(@ID1d8086e65dbae309@) --units/characters/enemies/spooc/spooc
				_id | 101565
				_units | table: 541B1F40 (empty)
				_events | table: 541B1F60 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B1EC0 (empty)
				_editor_name | ai_spawn_enemy_151
				_element_group | ElementSpawnEnemyDummy
			101597 | table: 541B3920
				__name | ElementSpawnCivilian
				_values | table: 53C31860
					enabled | true
					on_executed | table: 53C31880 (empty)
					debug | false
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-180, 0, -0)
					position | Vector3(-1600, -13425, 5815.27)
					execute_on_startup | false
					state | none
					force_pickup | none
					enemy | units/characters/civilians/builder_3/builder_3
				_enemy_name | Idstring(@IDfc293dde83830827@) --units/characters/civilians/builder_3/builder_3
				_id | 101597
				_units | table: 541B39C0 (empty)
				_events | table: 541B39E0 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541B3940 (empty)
				_editor_name | ai_spawn_civilian_041
				_element_group | ElementSpawnCivilian
			101613 | table: 541D1C60
				__name | ElementSpecialObjective
				_values | table: 53C61D00
					so_action | climb_bridge_tower
					on_executed | table: 53C61D20 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-2410.73, -21640.8, 7120.48)
					search_distance | 0
					patrol_path | none
					scan | false
					SO_access | 10208
					rotation | Rotation(90, -0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | 4
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-2365, -21630, 5778.48)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541D1C80 (empty)
				_editor_name | point_special_objective_106
				_events | table: 541D1CE0 (empty)
				_id | 101613
			101629 | table: 541F1C00
				__name | ElementUnitSequence
				_values | table: 53C33060
					enabled | true
					on_executed | table: 53C33080
						1 | table: 53C330A0
							delay | 15
							id | 101503
						2 | table: 53C330C0
							delay | 3
							id | 101957
						3 | table: 53C330E0
							delay | 15
							id | 100409
						4 | table: 53C33120
							delay | 0
							id | 100701
						5 | table: 53C33140
							delay | 0
							id | 100577
						6 | table: 53C33100
							delay | 0
							id | 100879
						7 | table: 53C33160
							delay | 0
							id | 100681
						8 | table: 53C33180
							delay | 5
							id | 102279
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-90, 0, -0)
					position | Vector3(-4150, -23175, 7650)
					execute_on_startup | false
					trigger_list | table: 53C331A0
						1 | table: 53C331C0
							notify_unit_sequence | catch_balloon
							name | run_sequence
							notify_unit_id | 100225
							id | 1
							time | 0
				_id | 101629
				_unit | [Unit '@ID67768423451632b3@' Vector3(-4150, -23175, 7650) 54201C80] --core/units/run_sequence_dummy/run_sequence_dummy
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541F1C20 (empty)
				_editor_name | func_sequence_024
				_element_group | ElementUnitSequence
				_enabled_by_default | true
			101645 | table: 541F04A0
				__name | ElementSpecialObjective
				_values | table: 53C321C0
					so_action | AI_hunt
					on_executed | table: 53C321E0 (empty)
					trigger_times | 3
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | true
					search_position | Vector3(-3050, -47450, 5447.52)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 16348
					rotation | Rotation(-180, 0, -0)
					pose | none
					repeatable | false
					enabled | false
					interval | 1
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | false
					base_delay | 0
					align_rotation | false
					align_position | false
					interrupt_on | none
					position | Vector3(-3050, -47450, 5447.52)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541F04C0 (empty)
				_editor_name | point_special_objective_051
				_events | table: 541F0520 (empty)
				_id | 101645
			101677 | table: 541F2A00
				__name | ElementFakeAssaultState
				_values | table: 53C33B00
					enabled | true
					on_executed | table: 53C33B20 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-2675, -18550, 6050)
					execute_on_startup | false
					state | true
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541F2A20 (empty)
				_editor_name | func_fake_assault_state_001
				_element_group | ElementFakeAssaultState
				_id | 101677
			101725 | table: 54250860
				__name | MissionScriptElement
				_values | table: 53C81060
					enabled | true
					on_executed | table: 53C81080
						1 | table: 53C810A0
							delay | 0
							id | 101360
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-175, -2650, 5900)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54250880 (empty)
				_editor_name | logic_link_065
				_element_group | MissionScriptElement
				_id | 101725
			101757 | table: 54251A00
				__name | ElementSpawnCivilian
				_values | table: 53C81B40
					enabled | true
					on_executed | table: 53C81B60 (empty)
					debug | false
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-2675, -22250, 7120.48)
					execute_on_startup | false
					state | stand_idle1
					force_pickup | none
					enemy | units/characters/civilians/builder_3/builder_3
				_enemy_name | Idstring(@IDfc293dde83830827@) --units/characters/civilians/builder_3/builder_3
				_id | 101757
				_units | table: 54251AA0 (empty)
				_events | table: 54251AC0 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54251A20 (empty)
				_editor_name | ai_spawn_civilian_057
				_element_group | ElementSpawnCivilian
			101789 | table: 54252D20
				__name | ElementEnemyDummyTrigger
				_values | table: 53C82C40
					enabled | true
					on_executed | table: 53C82C80
						1 | table: 53C82CA0
							delay | 0
							id | 101738
						2 | table: 53C82CC0
							delay | 0
							id | 101737
						3 | table: 53C82CE0
							delay | 0
							id | 101363
					elements | table: 53C82C60
						1 | 100186
					trigger_times | 1
					event | spawn
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					position | Vector3(-2025, -10050, 6175)
					execute_on_startup | false
					debug | false
					execute_on_restart | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54252D40 (empty)
				_editor_name | ai_enemy_trigger_014
				_element_group | ElementEnemyDummyTrigger
				_id | 101789
			101805 | table: 542536C0
				__name | ElementSpecialObjective
				_values | table: 53C83580
					on_executed | table: 53C835A0 (empty)
					path_style | destination
					interaction_voice | bridge_codeword
					use_instigator | true
					patrol_path | none
					execute_on_startup | false
					pose | none
					repeatable | false
					enabled | true
					debug | false
					access_flag_version | 1
					is_navigation_link | false
					path_haste | none
					rotation | Rotation(-180, 0, -0)
					base_chance | 1
					interrupt_on | none
					position | Vector3(-2000, -10650, 5796.21)
					chance_inc | 0
					SO_access | 1835011
					so_action | so_prisonvan3_4_5_to_pnc
					search_distance | 0
					trigger_times | 1
					trigger_on | interact
					execute_on_restart | false
					base_delay | 0
					align_rotation | false
					align_position | false
					search_position | Vector3(-2050, -10575, 5795.6)
					scan | true
					path_stance | none
					interval | 1
					attitude | avoid
					ai_group | civilians
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542536E0 (empty)
				_editor_name | point_special_objective_077
				_events | table: 54253740
					complete | table: 541D2620
						1 | function: 541D2600
				_id | 101805
			101837 | table: 54280440
				__name | ElementUnitSequenceTrigger
				_values | table: 53CB0580
					enabled | true
					on_executed | table: 53CB05A0
						1 | table: 53CB05C0
							delay | 0
							id | 101844
					debug | false
					sequence_list | table: 53CB05E0
						1 | table: 53CB0600
							sequence | kill_light_bulb
							unit_id | 100934
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3950, -23850, 6800)
					execute_on_startup | false
				_has_active_callback | true
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54280460 (empty)
				_editor_name | func_sequence_trigger_035
				_element_group | ElementUnitSequenceTrigger
				_id | 101837
			101853 | table: 54280B40
				__name | ElementDifficultyLevelCheck
				_values | table: 53CB0DC0
					enabled | true
					on_executed | table: 53CB0DE0
						1 | table: 53CB0E00
							delay | 0
							id | 101848
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					difficulty | overkill
					position | Vector3(-3250, -46775, 3575)
					execute_on_startup | false
					rotation | Rotation(-180, -1.21624e-010, -3.44008e-011)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54280B60 (empty)
				_editor_name | func_diff_level_check_003
				_element_group | ElementDifficultyLevelCheck
				_id | 101853
			101869 | table: 54281B40
				__name | ElementPlayEffect
				_values | table: 53CB16C0
					enabled | true
					base_time | 0
					debug | false
					effect | effects/particles/dest/slghtr_corner_sparks
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-124.089, -49.6704, -52.8616)
					random_time | 0
					position | Vector3(-1553.37, -6435.52, 5923.3)
					execute_on_startup | false
					screen_space | false
					on_executed | table: 53CB16E0 (empty)
					max_amount | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54281B60 (empty)
				_editor_name | env_effect_play_019
				_element_group | ElementPlayEffect
				_id | 101869
			101901 | table: 54282BA0
				__name | ElementSpecialObjective
				_values | table: 53CB24A0
					so_action | so_slide_under_low_obj
					on_executed | table: 53CB24C0 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-1757.88, -26479.4, 5730.11)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 255956
					rotation | Rotation(54.6416, 1.64498, -1.719)
					pose | none
					repeatable | false
					enabled | true
					interval | 20
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-1170.92, -26952.9, 5726.69)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54282BC0 (empty)
				_editor_name | point_special_objective_091
				_events | table: 54282C20 (empty)
				_id | 101901
			101917 | table: 542832A0
				__name | ElementSpecialObjective
				_values | table: 53CB2B00
					so_action | so_slide_under_low_obj
					on_executed | table: 53CB2B20 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-873.574, -35079.7, 5579.49)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 255956
					rotation | Rotation(-11.8813, 1.07643, 0.226501)
					pose | none
					repeatable | false
					enabled | true
					interval | 14
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-985.882, -35751, 5566.65)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542832C0 (empty)
				_editor_name | point_special_objective_100
				_events | table: 54283320 (empty)
				_id | 101917
			101933 | table: 54290800
				__name | ElementAreaTrigger
				_values | table: 53CB3C60
					on_executed | table: 53CB3C80
						1 | table: 53CB3CA0
							delay | 0
							id | 101935
						2 | table: 53CB3CC0
							delay | 0
							id | 102084
						3 | table: 53CB3CE0
							delay | 0
							id | 102100
					trigger_times | 1
					execute_on_restart | false
					spawn_unit_elements | table: 53CB3D20 (empty)
					amount | 1
					interval | 0.10000000149012
					enabled | false
					debug | false
					instigator | escorts
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					width | 4032.1201171875
					position | Vector3(-1250, -16325, 6100)
					height | 708.04998779297
					depth | 1419.8800048828
					trigger_on | on_enter
					execute_on_startup | false
				_id | 101933
				_shape | table: 542908A0
					_type | box_middle
					_name | false
					_bounding_radius_sq | 12193494
					_position | Vector3(-1250, -16325, 6100)
					_rotation | Rotation(0, 0, -0)
					_properties | table: 542908C0
						height | 708.04998779297
						depth | 1419.8800048828
						width | 4032.1201171875
					_center_pos | Vector3(-1250, -16325, 6100)
				_element_group | ElementAreaTrigger
				_last_project_amount_all | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54290820 (empty)
				_editor_name | trigger_area_030
				_inside | table: 542908E0 (empty)
				_enabled_by_default | false
			101949 | table: 54291280
				__name | ElementTeammateComment
				_values | table: 53CF0540
					enabled | true
					on_executed | table: 53CF0560 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | false
					position | Vector3(-3525, -22600, 7350)
					execute_on_startup | false
					radius | 0
					close_to_element | false
					comment | g27
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542912A0 (empty)
				_editor_name | point_teammate_comment_037
				_element_group | ElementTeammateComment
				_id | 101949
			101965 | table: 542920E0
				__name | ElementToggle
				_values | table: 53CF11E0
					enabled | true
					on_executed | table: 53CF1220 (empty)
					elements | table: 53CF1200
						1 | 101964
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1600, -24200, 6250)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54292100 (empty)
				_editor_name | logic_toggle_044
				_element_group | ElementToggle
				_id | 101965
			101981 | table: 54293000
				__name | ElementToggle
				_values | table: 53CF1CA0
					enabled | true
					on_executed | table: 53CF1CE0 (empty)
					elements | table: 53CF1CC0
						1 | 101979
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-5675, -22175, 6825)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54293020 (empty)
				_editor_name | logic_toggle_047
				_element_group | ElementToggle
				_id | 101981
			101997 | table: 54293AC0
				__name | MissionScriptElement
				_values | table: 53CF2420
					enabled | true
					on_executed | table: 53CF2440
						1 | table: 53CF2460
							delay | 60
							id | 101998
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3325, -22000, 8300)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54293AE0 (empty)
				_editor_name | logic_link_098
				_element_group | MissionScriptElement
				_id | 101997
			102013 | table: 542D04A0
				__name | ElementTeammateComment
				_values | table: 53CF2CA0
					enabled | true
					on_executed | table: 53CF2CC0 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | false
					position | Vector3(-1475, -4750, 5875)
					execute_on_startup | false
					radius | 0
					close_to_element | false
					comment | g16
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D04C0 (empty)
				_editor_name | point_teammate_comment_072
				_element_group | ElementTeammateComment
				_id | 102013
			102061 | table: 542D1E60
				__name | ElementDialogue
				_values | table: 53D40120
					enabled | true
					on_executed | table: 53D40140 (empty)
					debug | false
					dialogue | bri_ban_04
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-4225, -8750, 6025)
					execute_on_startup | false
					trigger_times | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D1E80 (empty)
				_editor_name | bri_ban_04
				_element_group | ElementDialogue
				_id | 102061
			102077 | table: 542D2940
				__name | ElementDialogue
				_values | table: 53D40960
					enabled | true
					on_executed | table: 53D40980
						1 | table: 53D409A0
							delay | 45
							id | 102075
					debug | false
					dialogue | bri_ban_23
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-2175, -10000, 6100)
					execute_on_startup | false
					trigger_times | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D2960 (empty)
				_editor_name | bri_ban_23
				_element_group | ElementDialogue
				_id | 102077
			102093 | table: 542D3200
				__name | ElementDialogue
				_values | table: 53D41140
					enabled | true
					on_executed | table: 53D41160
						1 | table: 53D41180
							delay | 4
							id | 101408
					debug | false
					dialogue | bri_ban_48
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3150, -46700, 5125)
					execute_on_startup | false
					trigger_times | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D3220 (empty)
				_editor_name | bri_ban_48
				_element_group | ElementDialogue
				_id | 102093
			102109 | table: 542D3C40
				__name | ElementTeammateComment
				_values | table: 53D41960
					enabled | true
					on_executed | table: 53D41980 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | true
					position | Vector3(-1425, -37150, 5775)
					execute_on_startup | false
					radius | 1250
					close_to_element | false
					comment | g18
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D3C60 (empty)
				_editor_name | point_teammate_comment_013
				_element_group | ElementTeammateComment
				_id | 102109
			102141 | table: 542F2600
				__name | ElementLogicChance
				_values | table: 53D438C0
					enabled | true
					on_executed | table: 53D438E0
						1 | table: 53D43900
							delay | 0
							id | 100129
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(3175, -9425, 8050)
					execute_on_startup | false
					chance | 50
				_chance | 50
				_id | 102141
				_triggers | table: 542F2680 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542F2620 (empty)
				_editor_name | logic_chance_012
				_element_group | ElementLogicChance
			100110 | table: 54083980
				__name | ElementSpawnEnemyDummy
				_values | table: 53B13BE0
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-475, -5125, 5758.03)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-180, 0, -0)
					spawn_action | none
					on_executed | table: 53B13C00 (empty)
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/cop2/cop2
				_enemy_name | Idstring(@ID1c7af86c8c573ef9@) --units/characters/enemies/cop2/cop2
				_id | 100110
				_units | table: 54083A20 (empty)
				_events | table: 54083A40 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540839A0 (empty)
				_editor_name | ai_spawn_enemy_015
				_element_group | ElementSpawnEnemyDummy
			100126 | table: 540C01C0
				__name | MissionScriptElement
				_values | table: 53B30240
					enabled | true
					on_executed | table: 53B30260
						1 | table: 53B30280
							delay | 0
							id | 100135
						2 | table: 53B302A0
							delay | 0
							id | 100139
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(2800, -9425, 8050)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
